Field_of_Study,Major_Group
Biological_Agricultural_and_Environmental_Sciences,"Agriculture and natural resources"
Biological_Agricultural_and_Environmental_Sciences,Health
Biological_Agricultural_and_Environmental_Sciences,"Biology and life sciences"
Business,Business
Communications,"Communications and journalism"
Computers_Mathematics_and_Statistics,"Computers statistics and mathematics"
Education,Education
Engineering,"Architecture and engineering"
Liberal_Arts_and_History,"Humanities and liberal arts"
Literature_and_Languages,
Physical_and_Related_Science,"Physical sciences"
Psychology,"Psychology and social work"
Science_and_Engineering_Related_Fields,
Social_Science,"Law and public policy"
Social_Science,"Social sciences"
Visual_and_Performing_Arts,Arts
," "
