Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"All occupations","7,265,133","$2,724,000 ","$16,000 ","5,618,645","$2,563,000 ","$16,000 ","1,350,295","$3,257,000 ","$33,000 ","236,169","$4,013,000 ","$115,000 ","60,024","$3,535,000 ","$235,000 "
"Accountants and auditors","931,039","$2,805,000 ","$30,000 ","703,145","$2,670,000 ","$39,000 ","202,419","$3,249,000 ","$92,000 ","24,331","$3,751,000 ","$328,000 ","1,144",(B),(B)
"Managers, all other","386,391","$3,502,000 ","$58,000 ","282,479","$3,318,000 ","$78,000 ","93,356","$3,952,000 ","$146,000 ","8,201",(B),(B),"2,355",(B),(B)
"Financial managers","338,184","$3,489,000 ","$46,000 ","240,046","$3,284,000 ","$86,000 ","89,752","$3,912,000 ","$157,000 ","7,791",(B),(B),595,(B),(B)
"First-line supervisors of retail sales workers","225,974","$2,172,000 ","$68,000 ","203,788","$2,173,000 ","$73,000 ","19,879","$2,371,000 ","$260,000 ","1,548",(B),(B),759,(B),(B)
"Sales representatives, wholesale and manufacturing","218,940","$3,195,000 ","$79,000 ","194,539","$3,126,000 ","$81,000 ","23,058","$3,723,000 ","$326,000 ","1,126",(B),(B),217,(B),(B)
"Chief executives","217,753","$4,948,000 ","$196,000 ","151,192","$4,677,000 ","$181,000 ","57,471","$5,661,000 ","$408,000 ","7,238",(B),(B),"1,852",(B),(B)
"Marketing and sales managers","187,621","$3,692,000 ","$114,000 ","146,916","$3,576,000 ","$129,000 ","38,793","$4,199,000 ","$254,000 ","1,479",(B),(B),433,(B),(B)
"First-line supervisors of non-retail sales workers","155,785","$3,233,000 ","$151,000 ","129,356","$3,143,000 ","$139,000 ","24,405","$3,866,000 ","$343,000 ","1,975",(B),(B),49,(B),(B)
"General and operations managers","137,940","$3,553,000 ","$118,000 ","108,315","$3,397,000 ","$123,000 ","26,387","$4,424,000 ","$351,000 ","2,634",(B),(B),604,(B),(B)
"Retail salespersons","129,810","$2,196,000 ","$91,000 ","117,011","$2,206,000 ","$101,000 ","11,843",(B),(B),903,(B),(B),53,(B),(B)
"Secretaries and administrative assistants","123,020","$1,652,000 ","$48,000 ","111,591","$1,636,000 ","$49,000 ","10,145","$1,840,000 ","$199,000 ","1,140",(B),(B),144,(B),(B)
"First-line supervisors of office and administrative support workers","119,520","$2,452,000 ","$80,000 ","97,971","$2,329,000 ","$73,000 ","19,117","$3,337,000 ","$330,000 ","2,018",(B),(B),414,(B),(B)
"Personal financial advisors","114,306","$3,760,000 ","$153,000 ","85,682","$3,582,000 ","$210,000 ","24,045","$4,206,000 ","$437,000 ","4,419",(B),(B),160,(B),(B)
Lawyers,"112,114","$4,647,000 ","$196,000 ","2,252",(B),(B),"3,212",(B),(B),"97,005","$4,755,000 ","$228,000 ","9,645",(B),(B)
"Management analysts","111,589","$3,234,000 ","$102,000 ","75,194","$3,125,000 ","$123,000 ","32,493","$3,369,000 ","$222,000 ","3,208",(B),(B),694,(B),(B)
"Human resources workers","106,484","$2,604,000 ","$164,000 ","81,699","$2,445,000 ","$78,000 ","23,977","$3,130,000 ","$265,000 ",537,(B),(B),271,(B),(B)
"Customer service representatives","98,280","$1,780,000 ","$83,000 ","88,040","$1,756,000 ","$87,000 ","9,463",(B),(B),710,(B),(B),67,(B),(B)
"Elementary and middle school teachers","94,518","$1,922,000 ","$38,000 ","51,876","$1,785,000 ","$62,000 ","39,327","$2,023,000 ","$89,000 ","2,671",(B),(B),644,(B),(B)
"Insurance sales agents","88,652","$3,003,000 ","$199,000 ","77,650","$3,045,000 ","$221,000 ","9,170",(B),(B),"1,832",(B),(B),-,(B),(B)
"Sales representatives, services, all other","87,361","$3,073,000 ","$107,000 ","75,679","$3,017,000 ","$141,000 ","10,500",(B),(B),932,(B),(B),250,(B),(B)
"Real estate brokers and sales agents","86,852","$2,242,000 ","$182,000 ","74,842","$2,150,000 ","$195,000 ","10,374",(B),(B),"1,463",(B),(B),173,(B),(B)
"Computer and information systems managers","84,223","$3,728,000 ","$78,000 ","58,919","$3,659,000 ","$187,000 ","24,153","$3,975,000 ","$285,000 ",872,(B),(B),279,(B),(B)
"Securities, commodities, and financial services sales agents","79,222","$3,610,000 ","$229,000 ","63,388","$3,495,000 ","$200,000 ","14,108",(B),(B),"1,299",(B),(B),427,(B),(B)
"Computer systems analysts","75,164","$3,119,000 ","$102,000 ","57,221","$2,987,000 ","$124,000 ","16,663","$3,446,000 ","$194,000 ",925,(B),(B),355,(B),(B)
"Human resources managers","72,147","$3,246,000 ","$111,000 ","50,307","$3,090,000 ","$136,000 ","20,449","$3,606,000 ","$284,000 ",782,(B),(B),609,(B),(B)
"Credit counselors and loan officers","69,515","$2,878,000 ","$115,000 ","58,892","$2,742,000 ","$137,000 ","10,052","$3,684,000 ","$489,000 ",514,(B),(B),57,(B),(B)
"Food service managers","61,312","$2,100,000 ","$139,000 ","52,487","$2,073,000 ","$149,000 ","8,450",(B),(B),295,(B),(B),80,(B),(B)
"Bookkeeping, accounting, and auditing clerks","60,587","$1,718,000 ","$65,000 ","54,144","$1,659,000 ","$64,000 ","5,932",(B),(B),511,(B),(B),-,(B),(B)
"Education administrators","60,526","$2,524,000 ","$93,000 ","28,336","$2,157,000 ","$129,000 ","27,732","$2,741,000 ","$124,000 ","1,279",(B),(B),"3,179",(B),(B)
"Property, real estate, and community association managers","59,579","$2,788,000 ","$160,000 ","48,882","$2,747,000 ","$146,000 ","9,054",(B),(B),"1,489",(B),(B),154,(B),(B)
"Software developers, applications and systems","58,187","$3,361,000 ","$97,000 ","42,793","$3,290,000 ","$114,000 ","14,623","$3,585,000 ","$224,000 ",472,(B),(B),299,(B),(B)
"Medical and health services managers","45,833","$3,035,000 ","$161,000 ","27,496","$2,794,000 ","$159,000 ","17,451","$3,640,000 ","$258,000 ",812,(B),(B),74,(B),(B)
"Claims adjusters, appraisers, examiners, and investigators","44,787","$2,439,000 ","$90,000 ","40,316","$2,391,000 ","$78,000 ","4,131",(B),(B),340,(B),(B),-,(B),(B)
"Purchasing managers","44,464","$3,078,000 ","$127,000 ","32,687","$2,959,000 ","$115,000 ","10,346","$3,478,000 ","$453,000 ","1,120",(B),(B),311,(B),(B)
"Postsecondary teachers","43,978","$2,676,000 ","$154,000 ","10,533","$2,274,000 ","$291,000 ","17,484","$2,194,000 ","$212,000 ","2,617",(B),(B),"13,344","$4,171,000 ","$394,000 "
"Market research analysts and marketing specialists","43,488","$3,242,000 ","$180,000 ","31,945","$3,009,000 ","$206,000 ","10,565",(B),(B),628,(B),(B),350,(B),(B)
"Purchasing agents, except wholesale, retail, and farm products","41,006","$2,619,000 ","$109,000 ","33,424","$2,560,000 ","$137,000 ","7,284",(B),(B),239,(B),(B),59,(B),(B)
"Construction managers","39,902","$3,058,000 ","$192,000 ","35,210","$2,979,000 ","$195,000 ","3,725",(B),(B),829,(B),(B),138,(B),(B)
"Computer programmers","38,961","$3,067,000 ","$121,000 ","31,168","$2,971,000 ","$145,000 ","7,058",(B),(B),359,(B),(B),376,(B),(B)
"Computer support specialists","35,396","$2,462,000 ","$85,000 ","29,922","$2,410,000 ","$150,000 ","4,901",(B),(B),477,(B),(B),96,(B),(B)
"First-line supervisors of production and operating workers","34,822","$2,605,000 ","$140,000 ","29,519","$2,539,000 ","$150,000 ","5,086",(B),(B),217,(B),(B),-,(B),(B)
"Registered nurses","34,432","$2,459,000 ","$101,000 ","28,270","$2,451,000 ","$124,000 ","5,075",(B),(B),750,(B),(B),337,(B),(B)
"Office clerks, general","34,190","$1,620,000 ","$103,000 ","30,149","$1,618,000 ","$104,000 ","3,494",(B),(B),478,(B),(B),69,(B),(B)
"Advertising sales agents","31,183","$2,720,000 ","$240,000 ","27,057","$2,763,000 ","$432,000 ","4,058",(B),(B),-,(B),(B),68,(B),(B)
"Social workers","29,579","$1,611,000 ","$77,000 ","21,776","$1,574,000 ","$81,000 ","7,122",(B),(B),587,(B),(B),94,(B),(B)
"Computer occupations, all other","28,404","$3,143,000 ","$215,000 ","22,693","$3,105,000 ","$336,000 ","5,664",(B),(B),47,(B),(B),-,(B),(B)
Counselors,"28,094","$1,851,000 ","$161,000 ","15,900","$1,680,000 ","$140,000 ","11,199","$2,026,000 ","$214,000 ",828,(B),(B),167,(B),(B)
"Financial analysts","27,483",(B),(B),"18,983",(B),(B),"7,944",(B),(B),556,(B),(B),-,(B),(B)
Cashiers,"27,433","$1,311,000 ","$127,000 ","24,641","$1,308,000 ","$133,000 ","2,581",(B),(B),211,(B),(B),-,(B),(B)
"Police and sheriffs patrol officers","27,153","$2,734,000 ","$184,000 ","22,419","$2,749,000 ","$177,000 ","4,410",(B),(B),132,(B),(B),192,(B),(B)
"Secondary school teachers","25,515","$2,037,000 ","$76,000 ","14,790","$2,006,000 ","$151,000 ","10,045","$2,094,000 ","$122,000 ",247,(B),(B),433,(B),(B)
"Transportation, storage, and distribution managers","25,294","$3,021,000 ","$240,000 ","19,649","$2,756,000 ","$392,000 ","5,056",(B),(B),355,(B),(B),234,(B),(B)
"Driver/sales workers and truck drivers","25,157","$1,645,000 ","$173,000 ","23,743","$1,723,000 ","$195,000 ",941,(B),(B),312,(B),(B),161,(B),(B)
"Social and community service managers","25,078","$2,632,000 ","$254,000 ","16,697","$2,502,000 ","$324,000 ","7,536",(B),(B),753,(B),(B),92,(B),(B)
"Compliance officers","24,733","$2,742,000 ","$313,000 ","19,153","$2,791,000 ","$413,000 ","4,521",(B),(B),747,(B),(B),312,(B),(B)
"Other teachers and instructors","24,044","$2,269,000 ","$187,000 ","18,906","$2,145,000 ","$199,000 ","4,273",(B),(B),529,(B),(B),336,(B),(B)
"Sales and related workers, all other","23,622","$2,856,000 ","$294,000 ","20,827","$2,681,000 ","$367,000 ","2,397",(B),(B),398,(B),(B),-,(B),(B)
"Business operations specialists, all other","23,326","$2,409,000 ","$233,000 ","17,325","$2,267,000 ","$241,000 ","5,400",(B),(B),352,(B),(B),249,(B),(B)
"Office and administrative support workers, all other","22,533","$1,881,000 ","$161,000 ","19,138","$1,870,000 ","$149,000 ","2,896",(B),(B),419,(B),(B),80,(B),(B)
"Wholesale and retail buyers, except farm products","22,500","$2,450,000 ","$235,000 ","20,452","$2,463,000 ","$278,000 ","2,021",(B),(B),27,(B),(B),-,(B),(B)
"Industrial production managers","22,137","$3,150,000 ","$182,000 ","16,807","$3,111,000 ","$223,000 ","5,175",(B),(B),155,(B),(B),-,(B),(B)
