Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"All occupations","1,248,156","$2,412,000 ","$39,000 ","985,910","$2,333,000 ","$34,000 ","199,913","$2,552,000 ","$61,000 ","43,001","$3,467,000 ","$227,000 ","19,332",(B),(B)
"Managers, all other","54,478","$3,243,000 ","$246,000 ","43,775","$3,120,000 ","$261,000 ","9,804",(B),(B),683,(B),(B),216,(B),(B)
"Marketing and sales managers","49,657","$3,443,000 ","$276,000 ","43,323","$3,396,000 ","$220,000 ","6,068",(B),(B),167,(B),(B),99,(B),(B)
"Elementary and middle school teachers","39,825","$2,076,000 ","$60,000 ","18,050","$1,943,000 ","$166,000 ","20,016","$2,239,000 ","$142,000 ","1,230",(B),(B),529,(B),(B)
"Sales representatives, wholesale and manufacturing","38,319","$3,023,000 ","$159,000 ","34,588","$2,993,000 ","$175,000 ","3,165",(B),(B),566,(B),(B),-,(B),(B)
"Public relations specialists","29,093","$2,995,000 ","$290,000 ","23,782","$2,961,000 ","$358,000 ","5,063",(B),(B),191,(B),(B),57,(B),(B)
Editors,"27,755","$2,350,000 ","$154,000 ","24,289","$2,382,000 ","$163,000 ","3,104",(B),(B),281,(B),(B),81,(B),(B)
"First-line supervisors of retail sales workers","27,530","$1,967,000 ","$266,000 ","25,581","$1,955,000 ","$234,000 ","1,949",(B),(B),-,(B),(B),-,(B),(B)
"Customer service representatives","27,380","$1,804,000 ","$287,000 ","25,211","$1,796,000 ","$262,000 ","2,020",(B),(B),50,(B),(B),99,(B),(B)
"Secretaries and administrative assistants","26,112","$1,588,000 ","$122,000 ","24,198","$1,586,000 ","$126,000 ","1,731",(B),(B),183,(B),(B),-,(B),(B)
Lawyers,"25,332","$4,039,000 ","$525,000 ",533,(B),(B),412,(B),(B),"21,580","$3,940,000 ","$325,000 ","2,807",(B),(B)
"Retail salespersons","24,115",(B),(B),"22,313",(B),(B),"1,475",(B),(B),204,(B),(B),123,(B),(B)
"News analysts, reporters and correspondents","23,930","$2,341,000 ","$265,000 ","20,436","$2,260,000 ","$244,000 ","3,192",(B),(B),183,(B),(B),119,(B),(B)
"Producers and directors","23,274","$2,864,000 ","$246,000 ","21,670","$2,850,000 ","$259,000 ","1,546",(B),(B),58,(B),(B),-,(B),(B)
"Education administrators","21,054","$2,543,000 ","$284,000 ","9,543",(B),(B),"9,972",(B),(B),250,(B),(B),"1,289",(B),(B)
"Chief executives","20,823","$4,638,000 ","$474,000 ","14,827","$4,582,000 ","$619,000 ","5,297",(B),(B),326,(B),(B),373,(B),(B)
Designers,"20,524","$2,000,000 ","$262,000 ","18,660","$1,933,000 ","$250,000 ","1,667",(B),(B),197,(B),(B),-,(B),(B)
"Advertising sales agents","19,922","$2,866,000 ","$405,000 ","18,885",(B),(B),"1,037",(B),(B),-,(B),(B),-,(B),(B)
"Writers and authors","19,334","$2,412,000 ","$193,000 ","15,705","$2,427,000 ","$208,000 ","3,435",(B),(B),194,(B),(B),-,(B),(B)
"General and operations managers","19,050","$3,218,000 ","$346,000 ","15,220","$3,053,000 ","$283,000 ","3,167",(B),(B),567,(B),(B),96,(B),(B)
"Human resources workers","17,926",(B),(B),"13,182",(B),(B),"4,355",(B),(B),389,(B),(B),-,(B),(B)
"First-line supervisors of non-retail sales workers","17,811","$2,873,000 ","$314,000 ","14,980","$2,931,000 ","$333,000 ","1,926",(B),(B),631,(B),(B),274,(B),(B)
"Sales representatives, services, all other","17,422",(B),(B),"16,028","$2,871,000 ","$448,000 ","1,152",(B),(B),242,(B),(B),-,(B),(B)
"Postsecondary teachers","17,058","$2,323,000 ","$184,000 ","2,933",(B),(B),"7,191",(B),(B),878,(B),(B),"6,056",(B),(B)
"Market research analysts and marketing specialists","16,571",(B),(B),"13,714",(B),(B),"2,674",(B),(B),121,(B),(B),62,(B),(B)
"First-line supervisors of office and administrative support workers","16,371","$2,304,000 ","$157,000 ","14,586","$2,277,000 ","$156,000 ","1,576",(B),(B),209,(B),(B),-,(B),(B)
"Accountants and auditors","15,283",(B),(B),"11,763",(B),(B),"2,965",(B),(B),308,(B),(B),247,(B),(B)
"Financial managers","15,260",(B),(B),"12,912",(B),(B),"2,121",(B),(B),227,(B),(B),-,(B),(B)
"Management analysts","13,493","$2,718,000 ","$317,000 ","10,395","$2,790,000 ","$362,000 ","2,691",(B),(B),191,(B),(B),216,(B),(B)
"Insurance sales agents","12,203",(B),(B),"11,047",(B),(B),"1,001",(B),(B),155,(B),(B),-,(B),(B)
Counselors,"12,190","$1,718,000 ","$140,000 ","5,870",(B),(B),"6,008",(B),(B),161,(B),(B),151,(B),(B)
"Real estate brokers and sales agents","11,457",(B),(B),"10,528",(B),(B),880,(B),(B),49,(B),(B),-,(B),(B)
"Computer and information systems managers","10,336",(B),(B),"7,266",(B),(B),"2,946",(B),(B),49,(B),(B),75,(B),(B)
