Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"All occupations","1,553,089","$3,240,000 ","$32,000 ","1,023,515","$3,044,000 ","$42,000 ","427,581","$3,541,000 ","$60,000 ","39,796","$3,848,000 ","$352,000 ","62,197","$3,890,000 ","$163,000 "
"Software developers, applications and systems","231,322","$3,743,000 ","$64,000 ","141,894","$3,651,000 ","$68,000 ","82,168","$3,980,000 ","$136,000 ","1,411",(B),(B),"5,849",(B),(B)
"Computer programmers","119,327","$3,264,000 ","$70,000 ","89,127","$3,165,000 ","$88,000 ","27,552","$3,474,000 ","$161,000 ",482,(B),(B),"2,166",(B),(B)
"Computer and information systems managers","82,903","$4,045,000 ","$156,000 ","55,463","$3,872,000 ","$246,000 ","25,630","$4,244,000 ","$187,000 ",608,(B),(B),"1,202",(B),(B)
"Managers, all other","82,430","$4,161,000 ","$113,000 ","50,135","$4,039,000 ","$250,000 ","28,508","$4,337,000 ","$278,000 ","1,177",(B),(B),"2,610",(B),(B)
"Computer systems analysts","65,991","$3,400,000 ","$129,000 ","47,342","$3,240,000 ","$153,000 ","17,202","$3,823,000 ","$226,000 ",903,(B),(B),544,(B),(B)
"Computer support specialists","49,281","$2,793,000 ","$120,000 ","41,732","$2,828,000 ","$161,000 ","7,209",(B),(B),235,(B),(B),105,(B),(B)
"Computer occupations, all other","40,440","$3,237,000 ","$149,000 ","31,565","$3,188,000 ","$490,000 ","8,641",(B),(B),57,(B),(B),177,(B),(B)
"Postsecondary teachers","36,656","$2,841,000 ","$143,000 ","2,695",(B),(B),"12,540","$2,225,000 ","$183,000 ","1,022",(B),(B),"20,399","$3,302,000 ","$189,000 "
"Elementary and middle school teachers","34,553","$2,193,000 ","$125,000 ","15,236","$1,872,000 ","$130,000 ","17,971","$2,359,000 ","$129,000 ",692,(B),(B),654,(B),(B)
"Network and computer systems administrators","33,017","$2,916,000 ","$144,000 ","27,461","$2,893,000 ","$160,000 ","5,396",(B),(B),46,(B),(B),114,(B),(B)
"Management analysts","30,858","$3,743,000 ","$262,000 ","18,884","$3,532,000 ","$325,000 ","10,369","$4,468,000 ","$681,000 ",578,(B),(B),"1,027",(B),(B)
"Accountants and auditors","29,055","$2,681,000 ","$222,000 ","17,804","$2,313,000 ","$189,000 ","10,487","$3,321,000 ","$427,000 ",479,(B),(B),285,(B),(B)
"Secondary school teachers","25,694","$2,176,000 ","$90,000 ","10,760","$2,080,000 ","$153,000 ","14,260","$2,268,000 ","$130,000 ",414,(B),(B),260,(B),(B)
"Chief executives","22,692","$5,033,000 ","$403,000 ","12,639","$5,009,000 ","$479,000 ","7,857",(B),(B),694,(B),(B),"1,502",(B),(B)
"First-line supervisors of retail sales workers","18,149",(B),(B),"14,797",(B),(B),"2,931",(B),(B),145,(B),(B),276,(B),(B)
"Database administrators","17,699","$3,421,000 ","$105,000 ","13,334","$3,338,000 ","$132,000 ","4,264",(B),(B),52,(B),(B),49,(B),(B)
"Financial managers","16,929","$3,592,000 ","$491,000 ","10,364",(B),"$0 ","5,747",(B),(B),407,(B),(B),411,(B),(B)
"Computer network architects","16,403","$3,873,000 ","$597,000 ","13,207","$3,752,000 ","$333,000 ","3,146",(B),(B),50,(B),(B),-,(B),(B)
"Web developers","14,835",(B),(B),"12,076",(B),(B),"2,463",(B),(B),78,(B),(B),218,(B),(B)
"First-line supervisors of non-retail sales workers","13,770","$3,686,000 ","$605,000 ","9,973",(B),(B),"3,345",(B),(B),269,(B),(B),183,(B),(B)
"Engineers, all other","13,345","$3,953,000 ","$480,000 ","7,206",(B),(B),"4,644",(B),(B),386,(B),(B),"1,109",(B),(B)
"First-line supervisors of office and administrative support workers","13,188","$2,878,000 ","$438,000 ","9,908",(B),(B),"3,061",(B),(B),168,(B),(B),51,(B),(B)
"Computer, automated teller, and office machine repairers","12,955",(B),(B),"11,689",(B),(B),"1,266",(B),(B),-,(B),(B),-,(B),(B)
"General and operations managers","12,944","$4,164,000 ","$479,000 ","8,697",(B),(B),"3,656",(B),(B),153,(B),(B),438,(B),(B)
"Education administrators","12,786","$2,944,000 ","$330,000 ","4,488",(B),(B),"6,119",(B),(B),868,(B),(B),"1,311",(B),(B)
"Customer service representatives","12,531",(B),(B),"10,607",(B),(B),"1,549",(B),(B),311,(B),(B),64,(B),(B)
Actuaries,"11,748",(B),(B),"7,921",(B),(B),"2,350",(B),(B),"1,128",(B),(B),349,(B),(B)
"Retail salespersons","11,726",(B),(B),"9,514",(B),(B),"2,120",(B),(B),92,(B),(B),-,(B),(B)
Lawyers,"11,677","$4,838,000 ","$794,000 ",254,(B),(B),344,(B),(B),"10,417",(B),(B),662,(B),(B)
"Sales representatives, wholesale and manufacturing","10,981",(B),(B),"8,338",(B),(B),"2,369",(B),(B),225,(B),(B),49,(B),(B)
"Secretaries and administrative assistants","10,569","$1,684,000 ","$192,000 ","8,969",(B),(B),"1,419",(B),(B),181,(B),(B),-,(B),(B)
