Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"All occupations","3,166,447","$2,030,000 ","$9,000 ","1,669,548","$1,798,000 ","$11,000 ","1,308,210","$2,260,000 ","$10,000 ","108,311","$2,461,000 ","$64,000 ","80,378","$2,802,000 ","$103,000 "
"Elementary and middle school teachers","1,258,397","$2,014,000 ","$10,000 ","596,614","$1,803,000 ","$12,000 ","621,217","$2,226,000 ","$14,000 ","31,890","$2,233,000 ","$45,000 ","8,676",(B),(B)
"Secondary school teachers","216,843","$2,092,000 ","$27,000 ","104,826","$1,921,000 ","$26,000 ","106,726","$2,300,000 ","$46,000 ","3,797",(B),(B),"1,494",(B),(B)
"Education administrators","192,219","$2,814,000 ","$41,000 ","30,800","$1,945,000 ","$143,000 ","128,833","$2,871,000 ","$71,000 ","14,094",(B),(B),"18,492",(B),(B)
"Special education teachers","80,191","$2,032,000 ","$56,000 ","35,171","$1,786,000 ","$48,000 ","42,381","$2,233,000 ","$74,000 ","1,873",(B),(B),766,(B),(B)
"Preschool and kindergarten teachers","74,603","$1,603,000 ","$59,000 ","52,740","$1,440,000 ","$58,000 ","20,493","$1,920,000 ","$133,000 ","1,089",(B),(B),281,(B),(B)
"Postsecondary teachers","65,320","$2,191,000 ","$53,000 ","12,119","$2,009,000 ","$134,000 ","27,961","$2,041,000 ","$100,000 ","3,944",(B),(B),"21,296","$2,676,000 ","$147,000 "
Counselors,"52,003","$2,100,000 ","$79,000 ","9,174",(B),(B),"38,650","$2,186,000 ","$59,000 ","2,320",(B),(B),"1,859",(B),(B)
"Managers, all other","50,854","$2,635,000 ","$129,000 ","32,667","$2,592,000 ","$163,000 ","15,482","$2,698,000 ","$360,000 ","1,614",(B),(B),"1,091",(B),(B)
"Secretaries and administrative assistants","44,605","$1,420,000 ","$51,000 ","37,119","$1,410,000 ","$73,000 ","6,795",(B),(B),412,(B),(B),279,(B),(B)
"Other teachers and instructors","41,832","$1,852,000 ","$82,000 ","22,347","$1,700,000 ","$106,000 ","17,482","$2,018,000 ","$108,000 ","1,188",(B),(B),815,(B),(B)
"First-line supervisors of retail sales workers","32,588","$1,688,000 ","$158,000 ","26,836","$1,655,000 ","$162,000 ","4,977",(B),(B),439,(B),(B),336,(B),(B)
"Social workers","26,602","$1,701,000 ","$77,000 ","16,115","$1,600,000 ","$73,000 ","10,016","$1,911,000 ","$134,000 ",299,(B),(B),172,(B),(B)
"Chief executives","26,028","$3,661,000 ","$388,000 ","10,591",(B),(B),"10,094",(B),(B),"1,824",(B),(B),"3,519",(B),(B)
"Retail salespersons","23,428","$1,719,000 ","$154,000 ","17,787","$1,706,000 ","$210,000 ","5,168",(B),(B),390,(B),(B),83,(B),(B)
"Teacher assistants","22,459","$1,027,000 ","$142,000 ","17,738","$1,013,000 ","$148,000 ","4,358",(B),(B),363,(B),(B),-,(B),(B)
"Accountants and auditors","22,177","$2,084,000 ","$176,000 ","16,349","$1,977,000 ","$317,000 ","5,359",(B),(B),367,(B),(B),102,(B),(B)
"Sales representatives, wholesale and manufacturing","21,775","$2,655,000 ","$199,000 ","17,604","$2,601,000 ","$212,000 ","3,687",(B),(B),381,(B),(B),103,(B),(B)
Clergy,"20,029","$1,852,000 ","$88,000 ","7,045",(B),(B),"9,273",(B),(B),"1,767",(B),(B),"1,944",(B),(B)
"Childcare workers","19,450","$948,000 ","$93,000 ","16,059","$924,000 ","$83,000 ","2,935",(B),(B),394,(B),(B),62,(B),(B)
"Registered nurses","18,999","$2,410,000 ","$143,000 ","14,480","$2,276,000 ","$143,000 ","4,128",(B),(B),247,(B),(B),144,(B),(B)
"First-line supervisors of office and administrative support workers","18,795","$1,886,000 ","$160,000 ","13,572","$1,835,000 ","$207,000 ","4,696",(B),(B),359,(B),(B),168,(B),(B)
Librarians,"18,752","$1,889,000 ","$89,000 ","4,528",(B),(B),"13,175","$2,013,000 ","$132,000 ",674,(B),(B),375,(B),(B)
"General and operations managers","17,739","$2,849,000 ","$230,000 ","11,695","$2,716,000 ","$262,000 ","4,968",(B),(B),350,(B),(B),726,(B),(B)
"Customer service representatives","16,052","$1,404,000 ","$194,000 ","13,516","$1,316,000 ","$186,000 ","2,334",(B),(B),150,(B),(B),52,(B),(B)
"Social and community service managers","14,804","$2,061,000 ","$186,000 ","8,894",(B),(B),"5,372",(B),(B),314,(B),(B),224,(B),(B)
"Other education, training, and library workers","14,715","$2,405,000 ","$117,000 ","3,374",(B),(B),"9,333",(B),(B),620,(B),(B),"1,388",(B),(B)
"First-line supervisors of non-retail sales workers","13,977","$2,540,000 ","$251,000 ","11,258","$2,511,000 ","$231,000 ","2,462",(B),(B),149,(B),(B),108,(B),(B)
Lawyers,"13,734","$4,072,000 ","$566,000 ",457,(B),(B),821,(B),(B),"11,449","$4,108,000 ","$521,000 ","1,007",(B),(B)
"Real estate brokers and sales agents","13,652",(B),(B),"9,315",(B),(B),"3,479",(B),(B),529,(B),(B),329,(B),(B)
"Human resources workers","13,389","$2,294,000 ","$214,000 ","8,287",(B),(B),"4,351",(B),(B),373,(B),(B),378,(B),(B)
"Financial managers","12,881","$2,768,000 ","$280,000 ","9,194",(B),(B),"3,269",(B),(B),402,(B),(B),16,(B),(B)
"Office clerks, general","12,856","$1,236,000 ","$118,000 ","10,200","$1,235,000 ","$119,000 ","2,569",(B),(B),87,(B),(B),-,(B),(B)
"Marketing and sales managers","11,901","$3,035,000 ","$290,000 ","8,566",(B),(B),"3,128",(B),(B),90,(B),(B),117,(B),(B)
"Athletes, coaches, umpires, and related workers","11,400","$2,324,000 ","$243,000 ","5,801",(B),(B),"5,364",(B),(B),-,(B),(B),235,(B),(B)
"Insurance sales agents","11,125",(B),(B),"8,865",(B),(B),"2,163",(B),(B),33,(B),(B),64,(B),(B)
"Human resources managers","11,044","$2,759,000 ","$295,000 ","5,842",(B),(B),"4,165",(B),(B),678,(B),(B),359,(B),(B)
"Medical and health services managers","10,380","$2,631,000 ","$270,000 ","5,138",(B),(B),"4,708",(B),(B),395,(B),(B),139,(B),(B)
Cashiers,"10,102",(B),(B),"8,267",(B),(B),"1,764",(B),(B),71,(B),(B),-,(B),(B)
