Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"All occupations","2,795,336","$3,623,000 ","$23,000 ","1,657,617","$3,349,000 ","$27,000 ","901,706","$3,918,000 ","$40,000 ","89,320","$4,120,000 ","$261,000 ","146,693","$4,176,000 ","$117,000 "
"Managers, all other","214,720","$4,272,000 ","$84,000 ","118,550","$4,006,000 ","$125,000 ","84,164","$4,557,000 ","$177,000 ","3,033",(B),(B),"8,973",(B),(B)
"Engineers, all other","206,349","$3,691,000 ","$46,000 ","120,740","$3,515,000 ","$57,000 ","67,895","$3,912,000 ","$114,000 ","3,969",(B),(B),"13,745","$4,389,000 ","$215,000 "
"Software developers, applications and systems","184,645","$3,906,000 ","$72,000 ","101,605","$3,838,000 ","$149,000 ","74,032","$4,026,000 ","$101,000 ","1,596",(B),(B),"7,412",(B),(B)
"Civil engineers","175,853","$3,470,000 ","$61,000 ","117,746","$3,337,000 ","$80,000 ","50,044","$3,688,000 ","$112,000 ","2,761",(B),(B),"5,302",(B),(B)
"Electrical and electronics engineers","121,574","$3,697,000 ","$60,000 ","75,545","$3,502,000 ","$67,000 ","40,235","$4,027,000 ","$120,000 ","1,023",(B),(B),"4,771",(B),(B)
"Mechanical engineers","109,598","$3,466,000 ","$53,000 ","73,590","$3,320,000 ","$73,000 ","32,109","$3,729,000 ","$162,000 ",552,(B),(B),"3,347",(B),(B)
"Architectural and engineering managers","83,552","$4,467,000 ","$98,000 ","47,498","$4,262,000 ","$143,000 ","31,368","$4,740,000 ","$258,000 ",799,(B),(B),"3,887",(B),(B)
"Aerospace engineers","75,773","$3,920,000 ","$66,000 ","43,133","$3,825,000 ","$94,000 ","29,203","$4,065,000 ","$115,000 ",519,(B),(B),"2,918",(B),(B)
"Chief executives","62,570",(B),(B),"31,966",(B),(B),"25,954",(B),(B),"2,105",(B),(B),"2,545",(B),(B)
"Industrial engineers, including health and safety","59,774","$3,269,000 ","$90,000 ","42,605","$3,177,000 ","$95,000 ","15,661","$3,455,000 ","$124,000 ",314,(B),(B),"1,194",(B),(B)
"Construction managers","49,755","$3,781,000 ","$199,000 ","37,618","$3,729,000 ","$280,000 ","10,948","$3,866,000 ","$313,000 ",459,(B),(B),730,(B),(B)
"Computer and information systems managers","47,146","$4,374,000 ","$232,000 ","24,964","$4,082,000 ","$311,000 ","20,173","$4,594,000 ","$216,000 ",517,(B),(B),"1,492",(B),(B)
"Postsecondary teachers","45,731","$3,191,000 ","$238,000 ","5,823",(B),(B),"11,071","$2,349,000 ","$338,000 ","2,807",(B),(B),"26,030","$3,719,000 ","$320,000 "
