Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"All occupations","1,476,026","$2,376,000 ","$27,000 ","822,542","$2,046,000 ","$40,000 ","380,767","$2,448,000 ","$39,000 ","188,930","$4,088,000 ","$147,000 ","83,787","$2,705,000 ","$148,000 "
Lawyers,"110,598","$4,782,000 ","$266,000 ",512,(B),(B),"2,449",(B),(B),"99,027","$4,900,000 ","$306,000 ","8,610",(B),(B)
Clergy,"103,269","$1,742,000 ","$57,000 ","37,271","$1,573,000 ","$58,000 ","45,187","$1,758,000 ","$91,000 ","9,956",(B),(B),"10,855",(B),(B)
"Elementary and middle school teachers","90,411","$2,147,000 ","$55,000 ","38,123","$1,963,000 ","$63,000 ","46,073","$2,328,000 ","$82,000 ","4,628",(B),(B),"1,587",(B),(B)
"Managers, all other","57,092","$3,373,000 ","$147,000 ","36,028","$3,117,000 ","$218,000 ","15,901","$3,577,000 ","$249,000 ","3,229",(B),(B),"1,934",(B),(B)
"Postsecondary teachers","45,917","$2,482,000 ","$110,000 ","4,184",(B),(B),"10,996","$2,116,000 ","$219,000 ","3,991",(B),(B),"26,746",(B),(B)
"Education administrators","33,536","$2,870,000 ","$179,000 ","8,296",(B),(B),"19,421","$2,889,000 ","$203,000 ","2,011",(B),(B),"3,808",(B),(B)
"First-line supervisors of retail sales workers","28,529","$1,955,000 ","$199,000 ","23,705","$1,875,000 ","$224,000 ","4,202",(B),(B),442,(B),(B),180,(B),(B)
"Secondary school teachers","27,378","$2,124,000 ","$90,000 ","11,547","$1,824,000 ","$136,000 ","13,924","$2,284,000 ","$134,000 ","1,003",(B),(B),904,(B),(B)
"Secretaries and administrative assistants","23,349","$1,552,000 ","$86,000 ","21,065","$1,531,000 ","$84,000 ","1,789",(B),(B),316,(B),(B),179,(B),(B)
"Chief executives","22,972","$4,852,000 ","$602,000 ","12,705",(B),(B),"6,524",(B),(B),"1,804",(B),(B),"1,939",(B),(B)
"Sales representatives, wholesale and manufacturing","22,742","$3,404,000 ","$302,000 ","19,085","$3,304,000 ","$406,000 ","2,810",(B),(B),642,(B),(B),205,(B),(B)
"Accountants and auditors","20,315","$2,408,000 ","$155,000 ","13,288","$2,191,000 ","$253,000 ","6,363",(B),(B),569,(B),(B),95,(B),(B)
"Retail salespersons","18,954","$1,879,000 ","$270,000 ","15,163",(B),(B),"3,494",(B),(B),297,(B),(B),-,(B),(B)
"Physicians and surgeons","18,943","$6,524,000 ","$710,000 ","1,028",(B),(B),757,(B),(B),"15,521","$6,754,000 ","$665,000 ","1,637",(B),(B)
"Marketing and sales managers","18,638","$3,892,000 ","$335,000 ","13,355","$3,703,000 ","$269,000 ","4,512",(B),(B),517,(B),(B),254,(B),(B)
"Financial managers","18,326","$3,524,000 ","$327,000 ","10,786","$2,931,000 ","$417,000 ","6,233",(B),(B),"1,211",(B),(B),96,(B),(B)
"Social workers","18,280","$1,920,000 ","$116,000 ","9,234",(B),(B),"8,243",(B),(B),508,(B),(B),295,(B),(B)
"First-line supervisors of office and administrative support workers","17,742","$2,150,000 ","$168,000 ","13,357","$2,068,000 ","$154,000 ","3,155",(B),(B),939,(B),(B),291,(B),(B)
"General and operations managers","17,612","$3,250,000 ","$275,000 ","10,905",(B),(B),"5,482",(B),(B),709,(B),(B),516,(B),(B)
"Customer service representatives","16,722","$1,815,000 ","$230,000 ","14,165","$1,707,000 ","$199,000 ","2,403",(B),(B),154,(B),(B),-,(B),(B)
"First-line supervisors of non-retail sales workers","15,779","$3,062,000 ","$434,000 ","11,372","$2,731,000 ","$397,000 ","3,302",(B),(B),860,(B),(B),245,(B),(B)
"Management analysts","15,594","$3,437,000 ","$432,000 ","7,989",(B),(B),"5,373",(B),(B),"1,154",(B),(B),"1,078",(B),(B)
Counselors,"14,736","$1,825,000 ","$139,000 ","5,361",(B),(B),"7,729",(B),(B),646,(B),(B),"1,000",(B),(B)
"Human resources workers","12,242","$2,667,000 ","$270,000 ","8,419",(B),(B),"3,223",(B),(B),415,(B),(B),185,(B),(B)
Librarians,"11,668","$2,030,000 ","$163,000 ","1,883",(B),(B),"8,580",(B),(B),"1,024",(B),(B),181,(B),(B)
"Real estate brokers and sales agents","11,400",(B),(B),"8,339",(B),(B),"1,798",(B),(B),"1,121",(B),(B),142,(B),(B)
"Insurance sales agents","10,502",(B),(B),"8,584",(B),(B),"1,379",(B),(B),194,(B),(B),345,(B),(B)
"Social and community service managers","10,463","$2,540,000 ","$254,000 ","5,226",(B),(B),"4,197",(B),(B),389,(B),(B),651,(B),(B)
"Other teachers and instructors","10,448","$1,985,000 ","$239,000 ","6,713",(B),(B),"3,228",(B),(B),87,(B),(B),420,(B),(B)
