Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
Occupation,"Bachelor's or higher Number","SWE 1","MOE 2","Bachelor's degree Number","SWE 1","MOE 2","Master's degree Number","SWE 1","MOE 2","Professional degree Number","SWE 1","MOE 2","Doctorate degree Number","SWE 1","MOE 2"
"All occupations","1,078,965","$3,166,000 ","$49,000 ","489,514","$2,527,000 ","$52,000 ","272,382","$3,193,000 ","$62,000 ","133,673","$5,447,000 ","$251,000 ","183,396","$3,825,000 ","$76,000 "
"Physicians and surgeons","85,252","$6,780,000 ","$311,000 ",73,(B),(B),"1,771",(B),(B),"69,088","$6,948,000 ","$352,000 ","14,320",(B),(B)
"Managers, all other","63,307","$3,791,000 ","$163,000 ","29,315","$3,359,000 ","$212,000 ","21,721","$4,043,000 ","$234,000 ","2,050",(B),(B),"10,221",(B),(B)
"Postsecondary teachers","58,925","$2,749,000 ","$118,000 ","6,071",(B),(B),"12,065","$2,126,000 ","$258,000 ","1,819",(B),(B),"38,970","$3,020,000 ","$149,000 "
"Physical scientists, all other","39,553","$3,547,000 ","$140,000 ","6,612",(B),(B),"6,520",(B),(B),"1,233",(B),(B),"25,188","$3,778,000 ","$221,000 "
"Chemists and materials scientists","38,607","$3,036,000 ","$108,000 ","20,346","$2,727,000 ","$208,000 ","8,514",(B),(B),651,(B),(B),"9,096",(B),(B)
"Software developers, applications and systems","29,751","$3,960,000 ","$146,000 ","12,142","$3,836,000 ","$229,000 ","13,570","$3,957,000 ","$199,000 ",325,(B),(B),"3,714",(B),(B)
"Environmental scientists and geoscientists","28,354","$3,214,000 ","$173,000 ","13,369","$2,917,000 ","$374,000 ","11,590","$3,252,000 ","$268,000 ",390,(B),(B),"3,005",(B),(B)
"Elementary and middle school teachers","26,445","$2,047,000 ","$84,000 ","11,028","$1,855,000 ","$131,000 ","13,843","$2,147,000 ","$125,000 ",638,(B),(B),936,(B),(B)
"Medical scientists","21,593","$3,476,000 ","$344,000 ",657,(B),(B),"6,156",(B),(B),"3,124",(B),(B),"11,656","$3,568,000 ","$449,000 "
"Registered nurses","18,696","$2,649,000 ","$118,000 ","14,647","$2,583,000 ","$142,000 ","3,248",(B),(B),565,(B),(B),236,(B),(B)
"Chief executives","16,399",(B),(B),"7,313",(B),(B),"5,150",(B),(B),818,(B),(B),"3,118",(B),(B)
"Sales representatives, wholesale and manufacturing","15,332","$3,483,000 ","$317,000 ","11,019","$3,057,000 ","$335,000 ","3,356",(B),(B),402,(B),(B),555,(B),(B)
"Secondary school teachers","14,561","$2,177,000 ","$135,000 ","5,838",(B),(B),"7,635",(B),(B),331,(B),(B),757,(B),(B)
Lawyers,"14,543",(B),(B),519,(B),(B),372,(B),(B),"10,705",(B),(B),"2,947",(B),(B)
"First-line supervisors of retail sales workers","14,141","$2,017,000 ","$291,000 ","11,045",(B),(B),"1,937",(B),(B),509,(B),(B),650,(B),(B)
"Engineers, all other","14,072","$3,826,000 ","$239,000 ","5,658",(B),(B),"5,181",(B),(B),411,(B),(B),"2,822",(B),(B)
Dentists,"13,159","$5,797,000 ","$684,000 ",-,(B),(B),253,(B),(B),"9,799",(B),(B),"3,107",(B),(B)
"Management analysts","12,226","$3,741,000 ","$579,000 ","6,124",(B),(B),"4,129",(B),(B),219,(B),(B),"1,754",(B),(B)
"Computer programmers","12,054","$3,209,000 ","$276,000 ","7,099",(B),(B),"3,381",(B),(B),258,(B),(B),"1,316",(B),(B)
"Computer systems analysts","11,806","$3,354,000 ","$350,000 ","5,618",(B),(B),"4,893",(B),(B),184,(B),(B),"1,111",(B),(B)
"Accountants and auditors","11,258","$2,823,000 ","$365,000 ","6,586",(B),(B),"3,899",(B),(B),635,(B),(B),138,(B),(B)
Pharmacists,"10,737","$4,364,000 ","$325,000 ","1,965",(B),(B),895,(B),(B),"4,253",(B),(B),"3,624",(B),(B)
"Computer and information systems managers","10,687","$4,088,000 ","$386,000 ","5,680",(B),(B),"4,240",(B),(B),178,(B),(B),589,(B),(B)
"Education administrators","10,496","$2,866,000 ","$279,000 ","2,214",(B),(B),"5,286",(B),(B),587,(B),(B),"2,409",(B),(B)
"Clinical laboratory technologists and technicians","10,277","$2,022,000 ","$149,000 ","7,286",(B),(B),"1,828",(B),(B),618,(B),(B),545,(B),(B)
