Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"All occupations","2,494,589","$2,842,000 ","$27,000 ","1,379,442","$2,406,000 ","$31,000 ","644,290","$2,986,000 ","$42,000 ","360,455","$4,321,000 ","$107,000 ","110,402","$3,490,000 ","$106,000 "
Lawyers,"257,504","$4,645,000 ","$173,000 ","1,688",(B),(B),"5,742",(B),(B),"229,714","$4,737,000 ","$178,000 ","20,360","$4,157,000 ","$484,000 "
"Managers, all other","130,068","$3,527,000 ","$103,000 ","71,330","$3,110,000 ","$138,000 ","47,442","$3,876,000 ","$181,000 ","6,896",(B),(B),"4,400",(B),(B)
"Elementary and middle school teachers","70,158","$2,133,000 ","$48,000 ","28,274","$1,928,000 ","$75,000 ","37,036","$2,311,000 ","$100,000 ","3,680",(B),(B),"1,168",(B),(B)
"Accountants and auditors","67,045","$2,854,000 ","$141,000 ","41,766","$2,575,000 ","$189,000 ","22,167","$3,237,000 ","$310,000 ","2,454",(B),(B),658,(B),(B)
"Social workers","65,527","$1,832,000 ","$42,000 ","37,856","$1,688,000 ","$62,000 ","26,160","$2,105,000 ","$72,000 ",879,(B),(B),632,(B),(B)
"Financial managers","61,551","$3,962,000 ","$204,000 ","32,718","$3,535,000 ","$192,000 ","24,291","$4,604,000 ","$386,000 ","3,559",(B),(B),983,(B),(B)
"Chief executives","61,064","$5,342,000 ","$322,000 ","30,080","$4,951,000 ","$525,000 ","21,454","$5,493,000 ","$805,000 ","6,380",(B),(B),"3,150",(B),(B)
"Postsecondary teachers","57,153","$2,772,000 ","$95,000 ","4,305",(B),(B),"12,601","$2,152,000 ","$281,000 ","6,210",(B),(B),"34,037","$3,024,000 ","$307,000 "
"Sales representatives, wholesale and manufacturing","46,719","$3,034,000 ","$207,000 ","38,693","$2,984,000 ","$201,000 ","7,137",(B),(B),821,(B),(B),68,(B),(B)
"First-line supervisors of retail sales workers","44,584","$2,218,000 ","$177,000 ","36,197","$2,272,000 ","$198,000 ","6,342",(B),(B),"1,442",(B),(B),603,(B),(B)
"Management analysts","42,250","$3,833,000 ","$212,000 ","21,363","$3,212,000 ","$343,000 ","17,478","$4,326,000 ","$507,000 ","1,971",(B),(B),"1,438",(B),(B)
