ST,OCC_CODE,OCC_TITLE,LOC_Q,A_MEAN
AL,00-0000,"All Occupations",1,41920
AL,11-0000,"Management Occupations",0.73,109800
AL,11-1011,"Chief Executives",0.34,210530
AL,11-1021,"General and Operations Managers",0.93,122410
AL,11-1031,Legislators,1.88,22690
AL,11-2011,"Advertising and Promotions Managers",0.13,111590
AL,11-2021,"Marketing Managers",0.21,138920
AL,11-2022,"Sales Managers",0.46,123980
AL,11-2031,"Public Relations and Fundraising Managers",0.57,94220
AL,11-3011,"Administrative Services Managers",0.19,100770
AL,11-3021,"Computer and Information Systems Managers",0.71,120010
AL,11-3031,"Financial Managers",0.61,125600
AL,11-3051,"Industrial Production Managers",1.25,96990
AL,11-3061,"Purchasing Managers",0.91,109780
AL,11-3071,"Transportation, Storage, and Distribution Managers",0.45,91500
AL,11-3111,"Compensation and Benefits Managers",0.43,118180
AL,11-3121,"Human Resources Managers",0.75,99670
AL,11-3131,"Training and Development Managers",0.37,115360
AL,11-9021,"Construction Managers",0.79,89680
AL,11-9031,"Education Administrators, Preschool and Childcare Center/Program",0.21,50000
AL,11-9032,"Education Administrators, Elementary and Secondary School",1.09,79710
AL,11-9033,"Education Administrators, Postsecondary",1.19,98110
AL,11-9039,"Education Administrators, All Other",1.16,89030
AL,11-9041,"Architectural and Engineering Managers",1.06,137070
AL,11-9051,"Food Service Managers",0.79,61860
AL,11-9061,"Funeral Service Managers",2.53,66700
AL,11-9081,"Lodging Managers",1.05,48370
AL,11-9111,"Medical and Health Services Managers",0.61,99040
AL,11-9121,"Natural Sciences Managers",0.26,110380
AL,11-9131,"Postmasters and Mail Superintendents",1.37,73070
AL,11-9141,"Property, Real Estate, and Community Association Managers",0.19,73090
AL,11-9151,"Social and Community Service Managers",0.66,65240
AL,11-9161,"Emergency Management Directors",1.4,68180
AL,11-9199,"Managers, All Other",0.44,101480
AL,13-0000,"Business and Financial Operations Occupations",0.72,69390
AL,13-1021,"Buyers and Purchasing Agents, Farm Products",1.17,66470
AL,13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.32,51030
AL,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.47,65930
AL,13-1031,"Claims Adjusters, Examiners, and Investigators",0.98,59510
AL,13-1032,"Insurance Appraisers, Auto Damage",0,69190
AL,13-1041,"Compliance Officers",0.4,66070
AL,13-1051,"Cost Estimators",0.71,60790
AL,13-1071,"Human Resources Specialists",0.75,58170
AL,13-1075,"Labor Relations Specialists",0.85,52470
AL,13-1081,Logisticians,1.93,84730
AL,13-1111,"Management Analysts",0.52,91020
AL,13-1121,"Meeting, Convention, and Event Planners",0.39,48920
AL,13-1131,Fundraisers,0.77,48950
AL,13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.52,58670
AL,13-1151,"Training and Development Specialists",0.8,57260
AL,13-1161,"Market Research Analysts and Marketing Specialists",0.42,59960
AL,13-1199,"Business Operations Specialists, All Other",0.51,80960
AL,13-2011,"Accountants and Auditors",0.89,67040
AL,13-2021,"Appraisers and Assessors of Real Estate",0.9,53300
AL,13-2031,"Budget Analysts",1.05,76710
AL,13-2041,"Credit Analysts",0.43,60340
AL,13-2051,"Financial Analysts",0.38,89420
AL,13-2052,"Personal Financial Advisors",0.67,122580
AL,13-2053,"Insurance Underwriters",0.56,55820
AL,13-2061,"Financial Examiners",1.38,64580
AL,13-2071,"Credit Counselors",0.24,51290
AL,13-2072,"Loan Officers",0.84,68050
AL,13-2081,"Tax Examiners and Collectors, and Revenue Agents",1.39,55980
AL,13-2082,"Tax Preparers",0.52,29200
AL,13-2099,"Financial Specialists, All Other",0.4,72320
AL,15-0000,"Computer and Mathematical Occupations",0.7,78180
AL,15-1111,"Computer and Information Research Scientists",0.69,107260
AL,15-1121,"Computer Systems Analysts",0.55,76940
AL,15-1122,"Information Security Analysts",0.96,85610
AL,15-1131,"Computer Programmers",1.48,83190
AL,15-1132,"Software Developers, Applications",0.46,94500
AL,15-1133,"Software Developers, Systems Software",0.81,99770
AL,15-1134,"Web Developers",0.33,55860
AL,15-1141,"Database Administrators",1.11,75660
AL,15-1142,"Network and Computer Systems Administrators",0.9,71020
AL,15-1143,"Computer Network Architects",0.43,94800
AL,15-1151,"Computer User Support Specialists",0.74,47020
AL,15-1152,"Computer Network Support Specialists",0.48,59530
AL,15-1199,"Computer Occupations, All Other",0.54,87580
AL,15-2011,Actuaries,0.19,98570
AL,15-2031,"Operations Research Analysts",0.72,95090
AL,15-2041,Statisticians,0.54,62750
AL,17-0000,"Architecture and Engineering Occupations",1.24,86130
AL,17-1011,"Architects, Except Landscape and Naval",0.73,80850
AL,17-1012,"Landscape Architects",0.18,67810
AL,17-1021,"Cartographers and Photogrammetrists",0.93,61150
AL,17-1022,Surveyors,1.16,52890
AL,17-2011,"Aerospace Engineers",4.59,109980
AL,17-2031,"Biomedical Engineers",0,87570
AL,17-2041,"Chemical Engineers",1.15,99970
AL,17-2051,"Civil Engineers",0.88,77850
AL,17-2061,"Computer Hardware Engineers",1.31,107780
AL,17-2071,"Electrical Engineers",2.06,95770
AL,17-2072,"Electronics Engineers, Except Computer",1.14,104830
AL,17-2081,"Environmental Engineers",1.03,80680
AL,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1.39,93440
AL,17-2112,"Industrial Engineers",1.3,88640
AL,17-2131,"Materials Engineers",1.48,101970
AL,17-2141,"Mechanical Engineers",0.93,87990
AL,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1.62,87260
AL,17-2161,"Nuclear Engineers",0,124140
AL,17-2171,"Petroleum Engineers",0.29,140490
AL,17-2199,"Engineers, All Other",2.06,114560
AL,17-3011,"Architectural and Civil Drafters",0.77,49510
AL,17-3012,"Electrical and Electronics Drafters",1.05,63290
AL,17-3013,"Mechanical Drafters",0.83,58780
AL,17-3019,"Drafters, All Other",1.02,42730
AL,17-3021,"Aerospace Engineering and Operations Technicians",1.24,62290
AL,17-3022,"Civil Engineering Technicians",1.18,40110
AL,17-3023,"Electrical and Electronics Engineering Technicians",1.09,59700
AL,17-3024,"Electro-Mechanical Technicians",0.35,51890
AL,17-3025,"Environmental Engineering Technicians",1.03,56390
AL,17-3026,"Industrial Engineering Technicians",1.22,58690
AL,17-3027,"Mechanical Engineering Technicians",1.16,53480
AL,17-3029,"Engineering Technicians, Except Drafters, All Other",0.89,62780
AL,17-3031,"Surveying and Mapping Technicians",1.01,39850
AL,19-0000,"Life, Physical, and Social Science Occupations",0.58,61970
AL,19-1013,"Soil and Plant Scientists",0.27,61880
AL,19-1021,"Biochemists and Biophysicists",0,90920
AL,19-1022,Microbiologists,0.43,71170
AL,19-1023,"Zoologists and Wildlife Biologists",0.41,62490
AL,19-1029,"Biological Scientists, All Other",0.5,62450
AL,19-1031,"Conservation Scientists",0.39,71780
AL,19-1032,Foresters,2.56,57640
AL,19-1041,Epidemiologists,0.52,63550
AL,19-1042,"Medical Scientists, Except Epidemiologists",0.39,56980
AL,19-1099,"Life Scientists, All Other",0.28,107000
AL,19-2012,Physicists,1.11,126350
AL,19-2021,"Atmospheric and Space Scientists",1.41,83340
AL,19-2031,Chemists,0.61,78450
AL,19-2032,"Materials Scientists",0.96,89740
AL,19-2041,"Environmental Scientists and Specialists, Including Health",0.73,61090
AL,19-2042,"Geoscientists, Except Hydrologists and Geographers",0.55,81680
AL,19-2099,"Physical Scientists, All Other",0.6,72510
AL,19-3031,"Clinical, Counseling, and School Psychologists",0.45,77980
AL,19-3039,"Psychologists, All Other",0.72,91100
AL,19-3051,"Urban and Regional Planners",0.67,60680
AL,19-3091,"Anthropologists and Archeologists",0.97,45390
AL,19-3093,Historians,1.28,64280
AL,19-3099,"Social Scientists and Related Workers, All Other",0.49,81530
AL,19-4011,"Agricultural and Food Science Technicians",0.47,47160
AL,19-4021,"Biological Technicians",0.84,37200
AL,19-4031,"Chemical Technicians",0.85,48750
AL,19-4041,"Geological and Petroleum Technicians",0.43,53660
AL,19-4051,"Nuclear Technicians",1.16,67010
AL,19-4091,"Environmental Science and Protection Technicians, Including Health",0.92,47100
AL,19-4092,"Forensic Science Technicians",0.89,55650
AL,19-4093,"Forest and Conservation Technicians",0.61,44430
AL,19-4099,"Life, Physical, and Social Science Technicians, All Other",0.61,38710
AL,21-0000,"Community and Social Service Occupations",0.65,42990
AL,21-1011,"Substance Abuse and Behavioral Disorder Counselors",0.57,41420
AL,21-1012,"Educational, Guidance, School, and Vocational Counselors",0.93,51870
AL,21-1013,"Marriage and Family Therapists",0.5,39760
AL,21-1014,"Mental Health Counselors",0.53,46940
AL,21-1015,"Rehabilitation Counselors",0.68,36330
AL,21-1019,"Counselors, All Other",0.33,40630
AL,21-1021,"Child, Family, and School Social Workers",0.96,41180
AL,21-1022,"Healthcare Social Workers",1.01,46900
AL,21-1023,"Mental Health and Substance Abuse Social Workers",0.91,36770
AL,21-1029,"Social Workers, All Other",0.39,61270
AL,21-1091,"Health Educators",0.37,43000
AL,21-1092,"Probation Officers and Correctional Treatment Specialists",0.81,46150
AL,21-1093,"Social and Human Service Assistants",0.28,25970
AL,21-1094,"Community Health Workers",0.79,41220
AL,21-1099,"Community and Social Service Specialists, All Other",0.08,38150
AL,21-2011,Clergy,0.61,42890
AL,21-2021,"Directors, Religious Activities and Education",0.19,41390
AL,21-2099,"Religious Workers, All Other",0.43,24360
AL,23-0000,"Legal Occupations",0.67,83950
AL,23-1011,Lawyers,0.63,114820
AL,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.5,127500
AL,23-1022,"Arbitrators, Mediators, and Conciliators",0.42,63060
AL,23-1023,"Judges, Magistrate Judges, and Magistrates",1.37,62250
AL,23-2011,"Paralegals and Legal Assistants",0.77,44430
AL,23-2091,"Court Reporters",1.45,38340
AL,23-2093,"Title Examiners, Abstractors, and Searchers",0.4,32980
AL,23-2099,"Legal Support Workers, All Other",0.4,50880
AL,25-0000,"Education, Training, and Library Occupations",0.93,46310
AL,25-1011,"Business Teachers, Postsecondary",1.15,91140
AL,25-1021,"Computer Science Teachers, Postsecondary",0.75,92670
AL,25-1022,"Mathematical Science Teachers, Postsecondary",1.07,71120
AL,25-1031,"Architecture Teachers, Postsecondary",1,99180
AL,25-1032,"Engineering Teachers, Postsecondary",1.22,128580
AL,25-1041,"Agricultural Sciences Teachers, Postsecondary",1.78,103120
